2,1,Personal Social,Construye su identidad,B,Se optimista sigue trabajando
2,2,Personal Social,Convive y participa democraticamente en la busqueda del bien comun,B,Tienes que aprender a trabajar en equipo
2,3,Personal Social,"Construye su identidad como persona humana amada por Dios digna libre y trascendente, comprendiendo la doctrina de su propia religion abierta al dialogo con las que le son cercanas",B,Necesitas controlar emociones tu puedes
2,4,Psicomotriz,Se desenvuelve de manera autonoma a traves de su motricidad,A,Vamos sigue trabajando
2,5,Comunicacion,Se comunica oralmente en su lengua materna,B,Vamos puedes mejorar
2,6,Comunicacion,Lee diversos tipos de textos en su lengua materna,B,Sigue trabajando
2,7,Comunicacion,Escribe diversos tipos de texto en su lengua materna,B,Vamos tu puedes
2,8,Comunicacion,Crea proyectos desde los lenguajes del arte,B,Sigue indicaciones y tendras mejores logros
2,9,Matematica,Resuelve problemas de cantidad,B,Se perseverante y mejoraras
2,10,Matematica,"Resuelve problemas de forma, movimiento y localizacion",B,Eres habil sigue trabajando
2,11,Ciencia y Tecnologia,Indaga mediante metodos cientificos para construir sus conocimientos,B,Sigue indicaciones y mejoraras los resultados
2,14,Ingles,,A,Lo estas haciendo bien
2,15,Frances,,B,Sigue esforzandote
2,16,Mini-chef,,A,"Muy bien , lo lograste"
2,17,Etiqueta Social,,B,Tu puedes hacerlo mejor
2,18,Danza,,B,"Sigue adelante, no te rindas"
2,19,Psicomotricidad,,A,Lo conseguiste
